current (A),resonance freq Rb87 (MHz),resonance freq Rb85 (MHz),B field Rb87 (Gaussian),B field Rb85 (Gaussian),error (kHz)
-2,5.85,3.928,8.360128617,-8.420150054,9
-1.9,5.57,3.728,-7.959985709,-7.991425509,3
-1.8,5.24,3.529,-7.48838871,-7.564844587,2
-1.7,4.94,3.325,-7.059664166,-7.127545552,1
-1.6,4.64,3.119,-6.630939621,-6.685959271,1
-1.5,4.34,2.919,-6.202215077,-6.257234727,2
-1.4,4.02,2.702,-5.744908896,-5.792068596,2
-1.3,3.72,2.492,-5.316184352,-5.341907824,3
-1.2,3.41,2.3,-4.873168989,-4.930332262,3
-1.1,3.1,2.094,-4.430153626,-4.488745981,3
-1,2.81,1.882,-4.0157199,-4.034297964,3
-0.9,2.51,1.674,-3.586995355,-3.588424437,0.5
-0.8,2.19,1.481,-3.129689175,-3.174705252,0.5
-0.7,1.88,1.266,-2.686673812,-2.713826367,1
-0.6,1.59,1.062,-2.272240086,-2.276527331,0.5
-0.5,1.276,0.858,-1.823508396,-1.839228296,0.5
-0.4,0.976,0.662,-1.394783851,-1.419078242,0.5
-0.3,0.676,0.451,-0.966059307,-0.966773848,0.5
-0.2,0.376,0.258,-0.537334762,-0.553054662,0.5
0,0.329,0.229,0.470167917,0.490889603,0.5
0.1,0.644,0.429,0.920328689,0.919614148,0.5
0.2,0.95,0.641,1.357627724,1.374062165,0.5
0.3,1.255,0.841,1.793497678,1.80278671,0.5
0.4,1.56,1.036,2.229367631,2.22079314,0.5
0.5,1.865,1.249,2.665237585,2.67738478,0.5
0.6,2.18,1.451,3.115398357,3.11039657,0.5
0.7,2.495,1.658,3.565559128,3.554126474,1
0.8,2.81,1.853,4.0157199,3.972132905,0.5
0.9,3.1,2.07,4.430153626,4.437299035,0.5
1,3.4,2.273,4.858878171,4.872454448,3
1.1,3.716,2.468,5.310468024,5.290460879,3
1.2,4.025,2.688,5.752054305,5.762057878,3
1.3,4.325,2.888,6.18077885,6.190782422,3
1.4,4.635,3.098,6.623794212,6.640943194,2
1.5,4.945,3.288,7.066809575,7.048231511,2
1.6,5.255,3.498,7.509824937,7.498392283,1
1.7,5.555,3.708,7.938549482,7.948553055,1
1.8,5.885,3.908,8.410146481,8.377277599,2
1.9,6.175,4.119,8.824580207,8.829581994,3
2,6.485,4.317,9.26759557,9.254019293,9
